Overall time;Overall time without distr.;Tagging time;Tagging time without distr.;FMGT time;FMGT time without distr.;Sum of distr.;Tagging distr.;FMGT distr.;Commentary time;TP Inspection time;Facillitator time;Sum of tags;Avg Tags/Item;#TP;#TD;#TC;List #tags/item;List of time user spent for tagging/item;#m2t
914;701;517;445;397;256;213;72;141;98;0;115;58;1,93;3;12;1;3, 2, 1, 1, 1, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 1, 1, 4, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2;14, 11, 31, 4, 1, 24, 26, 25, 10, 15, 13, 18, 20, 7, 18, 13, 6, 1, 10, 3, 28, 16, 21, 11, 8, 10, 29, -25, 77;11
240;211;206;186;34;25;29;20;9;29;0;0;65;2,17;0;0;0;2, 2, 2, 2, 3, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1;5, 7, 7, 8, 8, 10, 11, 10, 8, 6, 6, 4, 7, 7, 4, 4, 4, 7, 6, 5, 6, 4, 3, 6, 9, 9, 4, 4, 3, 4;1
559;431;538;503;21;-72;128;35;93;106;22;0;74;2,47;0;14;3;2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2;39, 12, 11, 10, 27, 14, 25, 10, 9, 11, 22, 15, 16, 26, 7, 29, 7, 7, 6, 18, 14, 13, 22, 29, 10, 31, 13, 30, 9, 11;1
419;417;281;274;138;143;2;7;-5;-17;0;19;59;1,97;5;16;9;2, 2, 2, 3, 3, 3, 3, 3, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2;14, 17, 3, 8, 9, 5, 8, 3, 9, 8, 10, 10, 5, 4, 8, 6, 6, 67, 1, 6, 16, 2, 13, 3, 4, 3, 6, 13, -3, 10;7
548;357;368;177;180;180;191;191;0;175;0;16;48;1,6;3;21;1;1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1;19, 2, 1, 1, 0, 1, 5, 8, 5, 5, 3, 3, 1, 2, 20, 2, 1, 6, -6, 10, 14, 2, 2, -13, 9, 0, 6, -21, 10, -12;10
1095;774;1044;774;51;0;321;270;51;363;42;35;118;3,93;0;4;1;2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 2, 3, 3, 2, 5, 3, 6, 6, 6, 4, 4, 4, 5, 6, 4, 5, 4, 3, 4, 3, 5, 5, 4, 3, 5, 3;39, 12, 11, 10, 27, 14, 25, 10, 9, 11, 22, 15, 16, 26, 7, 29, 7, 7, 6, 18, 14, 13, 22, 29, 10, 31, 13, 30, 9, 11, 2, 1, 1, 0, 1, 5, 8, 5, 5, 3, 1, 3, 24, 30, 31, 23, 10, 34, 32, 24, 18, 42, 35, 31, 29, 4, 58, 38, 27, 21, 28, 20, 15, 57, 23, 24, 11, 9, 30, 0;2
1374;975;994;676;380;299;399;318;81;329;33;37;84;2,8;0;10;3;3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 3, 4, 3, 4, 4, 3, 3, 4;28, 43, 29, 13, 42, 9, 13, 13, 14, 4, 41, 19, 12, 31, 13, 22, 17, 1, -13, -10, 13, -5, 13, 29, 14, 22, 31, 32, 30, 33;15
399;109;222;-649;177;758;290;871;-581;607;42;72;52;1,73;0;16;0;2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 2, 3, 3, 2, 5, 3, 6, 6, 6, 4, 4, 4, 5, 6, 4, 5, 4, 3, 4, 3, 5, 5, 4, 3, 5, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2;39, 12, 11, 10, 27, 14, 25, 10, 9, 11, 22, 15, 16, 26, 7, 29, 7, 7, 6, 18, 14, 13, 22, 29, 10, 31, 13, 30, 9, 11, 2, 1, 1, 0, 1, 5, 8, 5, 5, 3, 1, 3, 24, 30, 31, 23, 10, 34, 32, 24, 18, 42, 35, 31, 29, 4, 58, 38, 27, 21, 28, 20, 15, 57, 23, 24, 11, 9, 30, 0, 16, 28, 12, 2, 41, 12, 1, 0, 1, 24, 16, 1, 0, 1, 19, 14, 1, 0, 1, 17, 14, 0, 1, 0, 28, 15, 14, 6, 6, 7, 7, 13, 17, 11, 6, 10, 127, 43, 29, 13, 9, 13, 4, 19, 12, 31, 17, 1;7
613;587;567;546;46;41;26;21;5;11;15;0;87;2,9;0;27;0;3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 2, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2;45, 23, 28, 5, 28, 8, 47, 19, 16, 15, 12, 41, 9, 27, 6, 25, 6, 14, 13, 8, 19, 13, 24, 14, 6, 17, 15, 22, 21;1
427;278;356;199;71;79;149;157;-8;666;42;125;78;2,6;0;4;4;2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 5, 2, 3, 3, 2, 5, 3, 6, 6, 6, 4, 4, 4, 5, 6, 4, 5, 4, 3, 4, 3, 5, 5, 4, 3, 5, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 3, 2, 4, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3;39, 12, 11, 10, 27, 14, 25, 10, 9, 11, 22, 15, 16, 26, 7, 29, 7, 7, 6, 18, 14, 13, 22, 29, 10, 31, 13, 30, 9, 11, 2, 1, 1, 0, 1, 5, 8, 5, 5, 3, 1, 3, 24, 30, 31, 23, 10, 34, 32, 24, 18, 42, 35, 31, 29, 4, 58, 38, 27, 21, 28, 20, 15, 57, 23, 24, 11, 9, 30, 0, 16, 28, 12, 2, 41, 12, 1, 0, 1, 24, 16, 1, 0, 1, 19, 14, 1, 0, 1, 17, 14, 0, 1, 0, 28, 15, 14, 6, 6, 7, 7, 13, 17, 11, 6, 10, 127, 43, 29, 13, 9, 13, 4, 19, 12, 31, 17, 1, 11, 23, 9, 6, 16, 17, -41, 0, 63, 8, 8, 9, -26, 52, 8, 12, 6, 9, 4, 17, 12, 19, 11, 5, 11, 12, 10, 11, 10;2
